thread_id,file,text_preview,posted_at,collected_at,views,likes,replies,reposts,quotes
18091791347148668,sample_post.md,論文を書いてるときに限って、 部屋の掃除がしたくなる現象に名前をつけたい。  #研究者あるある #P,2026-03-21T12:08:46.770844,2026-03-21T12:19:56.122782,0,1,0,0,0
18565415668041780,past_post,正直に言います。  半年前まで、論文を書くのが本当に苦痛でした。 データはあるのに、文章にならない。,2026-03-19T03:16:57+0000,2026-03-21T12:19:56.572193,53,2,0,0,0
18078762848526155,past_post,査読に通った論文を54本分析した研究がある。  結果：論文の57%が「22〜33段落」で構成されてい,2026-03-18T22:30:45+0000,2026-03-21T12:19:56.939131,391,7,2,1,0
17999668649882793,past_post,論文を書くとき、AIに何を使ってますか？  ① ChatGPT ② Claude ③ Gemini ,2026-03-18T13:48:58+0000,2026-03-21T12:19:57.409544,246,1,4,0,0
17935599834035856,past_post,antigravity改悪を受けてclaude codeを導入してみた。やっぱかゆいところに手が届か,2026-03-18T04:16:23+0000,2026-03-21T12:19:57.885537,148,0,0,0,0
18103648573716464,past_post,査読コメント「minor revision」って書いてあるのに 全然minorじゃない件。  あれ、,2026-03-18T03:42:09+0000,2026-03-21T12:19:58.358499,405,2,4,0,0
18118456405627255,past_post,昔は研究室対抗のソフトボール大会とかあって、実は学生よりも教授たちが一番張り切っていましたね。息抜き,2026-03-17T23:30:46+0000,2026-03-21T12:19:58.796795,625,2,0,0,0
18043903637679093,past_post,論文のIntroduction、自力で書くと何日かかりますか？  私は以前、丸3日かけて書いたInt,2026-03-17T22:30:13+0000,2026-03-21T12:19:59.208402,584,15,6,0,0
18076578167631198,past_post,論文、どっちから書く？  Introductionから順番に → ❤️ Methodsから先に書く ,2026-03-17T10:00:01+0000,2026-03-21T12:19:59.582320,145,0,0,0,0
18117888154716866,past_post,論文を書いてるときに限って、 部屋の掃除がしたくなる現象に名前をつけたい。,2026-03-17T07:48:27+0000,2026-03-21T12:19:59.956274,639,4,0,0,0
18587421349032763,past_post,わたしの論文書く順序 1️⃣アブストラクト（ざっと） 2️⃣方法 3️⃣結果 4️⃣ディスカッション,2026-03-05T00:22:48+0000,2026-03-21T12:20:00.361842,123,2,4,0,0
18008219240843497,past_post,夕方になると頭がぼーっとしてエネルギー不足なのか眠くなる。 クレアチンが効くよという話を信じて買って,2026-03-02T10:31:33+0000,2026-03-21T12:20:00.807670,567,4,2,0,0
18128086792480969,past_post,初めて英語論文を書く若手の皆さん。 これだけは覚えておいてください。 AIを使うなら「構造化ライティ,2026-02-28T14:25:31+0000,2026-03-21T12:20:01.272811,13,0,1,0,0
18410321164123134,past_post,AIに英語論文を書かせる時、修正地獄から抜け出して「週末を完全に取り戻す」ためにやったこと。 ① A,2026-02-28T14:21:18+0000,2026-03-21T12:20:01.748830,13,0,1,0,0
18096689650782812,past_post,「自分のデータ（具体）」を「論文の構造（抽象）」に一度預け、また「英語の文章（具体）」として吐き出さ,2026-02-28T14:17:41+0000,2026-03-21T12:20:02.212837,11,0,1,0,0
17968000170041162,past_post,休日はだらだら過ごして終わってしまう  こないだまでそうだったけど イーロンマスクも実践してるタイム,2026-02-28T06:27:56+0000,2026-03-21T12:20:02.625970,21,1,0,0,0
18407470024125162,past_post,学生くん「週末ずっとAIと格闘したのに論文が半ページしか進みません…」 画面を見ると、ChatGPT,2026-02-28T06:17:35+0000,2026-03-21T12:20:03.087248,23,0,1,0,0
18074725064386480,past_post,昨日ChatGPTと共に書き上げた論文のイントロを 今日うんざりした気持ちで消して一から書き直す  ,2026-02-28T06:08:54+0000,2026-03-21T12:20:03.509334,14,0,1,0,0
18042201827731651,past_post,研究歴20年。Ph.D.（生命科学）。 実は半年前まで、論文がこれっぽっちも書けなくて絶望していまし,2026-02-28T05:57:25+0000,2026-03-21T12:20:03.934109,59,0,0,0,0
